ticker,FUND_EXPENSE_RATIO,FUND_ASSETS_USD,AVERAGE_BID_ASK_SPREAD,FUND_LEVERAGE,INVERSE_FUND_INDICATOR,ACTIVELY_MANAGED,ID_BB_ULTIMATE_PARENT_CO_NAME,FUND_ASSET_CLASS_FOCUS,FUND_STRATEGY,STYLE_ANALYSIS_REGION_FOCUS,FUND_MKT_CAP_FOCUS,FUND_TYP,FUND_STRATEGY,INDEX_WEIGHTING_METHODOLOGY,REBALANCING_FREQUENCY
ECH,0.62,354.5310669,0.068289349,N,N,N,BlackRock Inc,Equity,Blend,Global,Broad Market,ETF,Blend,Market Cap,Quarterly
EES,0.38,758.6026611,0.099936698,N,N,N,WisdomTree Investments Inc,Equity,Blend,North America,Small-cap,ETF,Blend,Fundamentals,Yearly
UNG,0.7,293.9823303,0.050267909,N,N,N,United States Commodities Fund,Commodity,Energy,#N/A N/A,#N/A N/A,ETF,Energy,Single Asset,Monthly
FTCS,0.64,2381.969971,0.030769264,N,N,N,Grace Partners of DuPage LP,Equity,Value,North America,Large-cap,ETF,Value,Equal,Quarterly
EIDO,0.62,455.8106384,0.03985118,N,N,N,BlackRock Inc,Equity,Blend,Emerging Market,Broad Market,ETF,Blend,Market Cap,Quarterly
CFO,0.35,830.6845703,0.137261874,N,N,N,Victory Capital Advisers Inc,Equity,Blend,North America,Large-cap,ETF,Blend,Proprietary,Semi-Annually
EWX,0.65,477.3111267,0.152454459,N,N,N,State Street Corp,Equity,Blend,Emerging Market,Small-cap,ETF,Blend,Market Cap,Quarterly
AMZA,0.95,445.6147156,0.184344164,N,N,Y,Virtus Investment Partners Inc,Equity,Blend,North America,Broad Market,ETF,Blend,Not Applicable,Not Applicable
USCI,1.11,363.2900696,0.107860774,N,N,N,United States Commodities Fund,Commodity,Broad Based,#N/A N/A,#N/A N/A,ETF,Broad Based,Equal,Monthly
BIB,0.95,221.6602631,0.142520813,Y,N,N,ProFunds Group,Equity,Blend,North America,Broad Market,ETF,Blend,Market Cap,Daily
FYX,0.63,581.0412598,0.112188253,N,N,N,Grace Partners of DuPage LP,Equity,Blend,North America,Small-cap,ETF,Blend,Multi Factor,Quarterly
ONEO,0.2,428.158844,0.122863904,N,N,N,State Street Corp,Equity,Blend,North America,Large-cap,ETF,Blend,Multi Factor,Semi-Annually
PFXF,0.4,604.1989136,0.081317835,N,N,N,Van Eck Associates Corp,Fixed Income,Preferred,#N/A N/A,#N/A N/A,ETF,Preferred,Market Cap,Monthly
RHS,0.4,471.6045227,0.026930234,N,N,N,Invesco Ltd,Equity,Blend,North America,Large-cap,ETF,Blend,Equal,Quarterly
PWB,0.57,751.9122314,0.040676669,N,N,N,Invesco Ltd,Equity,Growth,North America,Large-cap,ETF,Growth,Multi Factor,Quarterly
ATMP,0.95,391.6018066,0.224825149,N,N,N,Barclays PLC,Equity,Blend,North America,Broad Market,ETN,Blend,Market Cap,Quarterly
AIA,0.5,1049.530273,0.129193015,N,N,N,BlackRock Inc,Equity,Blend,Emerging Market,Large-cap,ETF,Blend,Market Cap,Quarterly
PNQI,0.6,547.3074951,0.073407121,N,N,N,Invesco Ltd,Equity,Growth,North America,Large-cap,ETF,Growth,Market Cap,Quarterly
FGD,0.58,516.8741455,0.143456336,N,N,N,Grace Partners of DuPage LP,Equity,Blend,Developed Market,Broad Market,ETF,Blend,Fundamentals,Semi-Annually
IAGG,0.09,1394.667969,0.025055339,N,N,N,BlackRock Inc,Fixed Income,Aggregate,#N/A N/A,#N/A N/A,ETF,Aggregate,Market Cap,Monthly
EWD,0.48,231.4120789,0.035870761,N,N,N,BlackRock Inc,Equity,Blend,Developed Market,Large-cap,ETF,Blend,Market Cap,Quarterly
DDWM,0.35,248.8239594,0.225894821,N,N,N,WisdomTree Investments Inc,Equity,Blend,Developed Market,Broad Market,ETF,Blend,Multi Factor,Yearly
AGZ,0.2,475.4733276,0.032885094,N,N,N,BlackRock Inc,Fixed Income,Government,#N/A N/A,#N/A N/A,ETF,Government,Market Cap,Monthly
IXG,0.47,346.6991577,0.144614787,N,N,N,BlackRock Inc,Equity,Blend,North America,Large-cap,ETF,Blend,Market Cap,Quarterly
CRBN,0.2,449.7362061,0.14965167,N,N,N,BlackRock Inc,Equity,Blend,North America,Broad Market,ETF,Blend,Market Cap,Semi-Annually
BSJH,0.43,329.254425,#N/A N/A,N,N,N,Guggenheim Capital LLC,Fixed Income,Corporate,#N/A N/A,#N/A N/A,ETF,Corporate,Market Cap,Monthly
CLTL,0.08,545.166748,0.021124852,N,N,N,Invesco Ltd,Fixed Income,Government,#N/A N/A,#N/A N/A,ETF,Government,Market Cap,Monthly
ONEV,0.2,515.3916626,0.125050467,N,N,N,State Street Corp,Equity,Blend,Developed Market,Large-cap,ETF,Blend,Multi Factor,Yearly
EWM,0.49,447.9678345,0.035385461,N,N,N,BlackRock Inc,Equity,Blend,Global,Broad Market,ETF,Blend,Market Cap,Quarterly
GDVD,0.58,707.3634644,0.953679832,N,N,Y,Principal Financial Group Inc,Equity,Blend,Developed Market,Broad Market,ETF,Blend,Not Applicable,Not Applicable
JKL,0.3,403.7732544,0.121844833,N,N,N,BlackRock Inc,Equity,Value,North America,Small-cap,ETF,Value,Market Cap,Quarterly
AOK,0.18,505.4571533,0.129523002,N,N,N,BlackRock Inc,Mixed Allocation,Conservative Allocation,North America,#N/A N/A,ETF,Conservative Allocation,Proprietary,Yearly
FXG,0.62,340.4408264,0.095767217,N,N,N,Grace Partners of DuPage LP,Equity,Blend,North America,Broad Market,ETF,Blend,Multi Factor,Quarterly
XPH,0.35,211.2768555,0.086896596,N,N,N,State Street Corp,Equity,Blend,North America,Broad Market,ETF,Blend,Equal,Quarterly
REET,0.14,1591.27356,0.062185449,N,N,N,BlackRock Inc,Equity,Blend,Developed Market,Broad Market,ETF,Blend,Market Cap,Quarterly
EDIV,0.49,445.9067993,0.214861491,N,N,N,State Street Corp,Equity,Blend,Emerging Market,Broad Market,ETF,Blend,Dividend,Semi-Annually
IBDM,0.1,1147.975586,0.042884012,N,N,N,BlackRock Inc,Fixed Income,Corporate,#N/A N/A,#N/A N/A,ETF,Corporate,Not Applicable,Monthly
OUSA,0.48,479.0826111,0.137577252,N,N,N,O'Shares Investment Advisers L,Equity,Blend,North America,Large-cap,ETF,Blend,Multi Factor,Yearly
IYZ,0.43,407.6217957,0.038187237,N,N,N,BlackRock Inc,Equity,Blend,North America,Broad Market,ETF,Blend,Market Cap,Quarterly
DIV,0.45,480.289093,0.101510996,N,N,N,Mirae Asset Daewoo Co Ltd,Equity,Blend,North America,Broad Market,ETF,Blend,Equal,Yearly
GMF,0.49,465.3721619,0.223264598,N,N,N,State Street Corp,Equity,Blend,Emerging Market,Large-cap,ETF,Blend,Market Cap,Quarterly
REZ,0.48,472.2084351,0.142377212,N,N,N,Raffles Education Corp Ltd,Equity,Blend,Developed Market,Broad Market,ETF,Blend,Market Cap,Quarterly
FENY,0.08,454.4251099,0.066558624,N,N,N,FMR LLC,Equity,Blend,Developed Market,Large-cap,ETF,Blend,Market Cap,Quarterly
FREL,0.084,815.4816895,0.053995282,N,N,N,FMR LLC,Equity,Blend,Developed Market,Broad Market,ETF,Blend,Market Cap,Quarterly
TUR,0.62,379.0947571,0.058151254,N,N,N,BlackRock Inc,Equity,Blend,Emerging Europe,Broad Market,ETF,Blend,Market Cap,Quarterly
MORL,0.4,387.3184814,0.24156878,Y,N,N,UBS Group AG,Equity,Blend,Developed Market,Large-cap,ETN,Blend,Market Cap,Quarterly
FLQE,0.55,344.1309509,0.283138935,N,N,N,Franklin Resources Inc,Equity,Blend,Emerging Market,Large-cap,ETF,Blend,Multi Factor,Quarterly
REGL,0.4,647.8307495,0.070181805,N,N,N,ProFunds Group,Equity,Value,North America,Mid-cap,ETF,Value,Equal,Quarterly
DOL,0.48,399.4086304,0.131469151,N,N,N,WisdomTree Investments Inc,Equity,Blend,Developed Market,Large-cap,ETF,Blend,Dividend,Yearly
HEEM,0.67,215.4624939,0.155816469,N,N,N,BlackRock Inc,Equity,Blend,Emerging Market,Large-cap,ETF,Blend,Market Cap,Monthly
ONEY,0.2,421.4197998,0.168489481,N,N,N,State Street Corp,Equity,Blend,North America,Large-cap,ETF,Blend,Multi Factor,Yearly
IBDL,0.1,1139.132568,0.084157441,N,N,N,BlackRock Inc,Fixed Income,Corporate,#N/A N/A,#N/A N/A,ETF,Corporate,Market Cap,Monthly
SPXS,0.95,396.1022339,0.050921494,Y,Y,N,Rafferty Asset Management LLC,Equity,Blend,North America,Large-cap,ETF,Blend,Market Cap,Daily
RING,0.39,209.3124084,0.163009991,N,N,N,BlackRock Inc,Equity,Blend,North America,Broad Market,ETF,Blend,Market Cap,Quarterly
EZA,0.62,409.6107483,0.064039391,N,N,N,BlackRock Inc,Equity,Blend,Emerging Europe,Broad Market,ETF,Blend,Market Cap,Quarterly
LVHD,0.27,665.5838013,0.162962241,N,N,N,Legg Mason Inc,Equity,Value,North America,Broad Market,ETF,Value,Multi Factor,Quarterly
IBDK,0.1,770.0159302,0.04541189,N,N,N,BlackRock Inc,Fixed Income,Corporate,#N/A N/A,#N/A N/A,ETF,Corporate,Not Applicable,Monthly
JKI,0.3,455.3305054,0.120594381,N,N,N,BlackRock Inc,Equity,Value,North America,Mid-cap,ETF,Value,Market Cap,Quarterly
FXD,0.63,361.7485352,0.064359051,N,N,N,Grace Partners of DuPage LP,Equity,Blend,North America,Broad Market,ETF,Blend,Multi Factor,Quarterly
FEM,0.8,682.8375854,0.151906573,N,N,N,Grace Partners of DuPage LP,Equity,Blend,Emerging Market,Broad Market,ETF,Blend,Fundamentals,Semi-Annually
IEO,0.43,230.6426086,0.065842164,N,N,N,BlackRock Inc,Equity,Blend,Developed Market,Large-cap,ETF,Blend,Market Cap,Quarterly
JKF,0.25,511.1095581,0.039518203,N,N,N,BlackRock Inc,Equity,Value,North America,Large-cap,ETF,Value,Market Cap,Quarterly
DBO,0.78,248.350769,0.108829902,N,N,N,Invesco Ltd,Commodity,Energy,#N/A N/A,#N/A N/A,ETF,Energy,Multi Factor,Unknown
THD,0.62,460.8352051,0.132015871,N,N,N,BlackRock Inc,Equity,Blend,Emerging Market,Broad Market,ETF,Blend,Market Cap,Quarterly
SIL,0.65,330.2312927,0.193573102,N,N,N,Mirae Asset Daewoo Co Ltd,Equity,Blend,Global,Broad Market,ETF,Blend,Market Cap,Semi-Annually
UWT,1.5,356.894165,0.087591186,Y,N,N,Citigroup Inc,Commodity,Energy,#N/A N/A,#N/A N/A,ETN,Energy,Single Asset,Monthly
TAN,0.7,335.7679138,0.138134327,N,N,N,Invesco Ltd,Equity,Blend,Developed Market,Broad Market,ETF,Blend,Market Cap,Quarterly
GREK,0.59,331.3558044,0.118858561,N,N,N,Mirae Asset Daewoo Co Ltd,Equity,Blend,Emerging Europe,Broad Market,ETF,Blend,Market Cap,Semi-Annually
XRT,0.35,500.3411255,0.024333489,N,N,N,State Street Corp,Equity,Blend,North America,Broad Market,ETF,Blend,Equal,Quarterly
DVYE,0.49,553.3828125,0.141889894,N,N,N,BlackRock Inc,Equity,Blend,Emerging Market,Broad Market,ETF,Blend,Dividend,Quarterly
PSQ,0.95,546.7258911,0.03430973,Y,Y,N,ProFunds Group,Equity,Blend,North America,Large-cap,ETF,Blend,Market Cap,Daily
EEMO,0.3,7.448021412,0.823093248,N,N,N,Invesco Ltd,Equity,Blend,Emerging Market,Broad Market,ETF,Blend,Multi Factor,Quarterly
EPOL,0.64,269.3574524,0.047483621,N,N,N,BlackRock Inc,Equity,Blend,Emerging Market,Broad Market,ETF,Blend,Market Cap,Quarterly
RFDI,0.83,327.5858459,0.113273933,N,N,Y,Grace Partners of DuPage LP,Equity,Blend,Developed Market,Broad Market,ETF,Blend,Proprietary,Unknown
AMU,0.8,287.519043,0.149655185,N,N,N,UBS Group AG,Equity,Blend,North America,Broad Market,ETN,Blend,Market Cap,Not Applicable
SIVR,0.3,325.1880188,0.083249712,N,N,N,Standard Life Aberdeen PLC,Commodity,Precious Metals,#N/A N/A,#N/A N/A,ETF,Precious Metals,Single Asset,Not Applicable
KBWY,0.35,337.6593018,0.081664876,N,N,N,Invesco Ltd,Equity,Blend,North America,Broad Market,ETF,Blend,Dividend,Quarterly
JHML,0.35,892.9208984,0.088731992,N,N,N,Manulife Financial Corp,Equity,Blend,North America,Large-cap,ETF,Blend,Multi Factor,Semi-Annually
HYEM,0.4,280.2457886,0.222853929,N,N,N,Van Eck Associates Corp,Fixed Income,Corporate,#N/A N/A,#N/A N/A,ETF,Corporate,Duration,Monthly
FIDU,0.08,434.5013123,0.060211895,N,N,N,FMR LLC,Equity,Blend,North America,Broad Market,ETF,Blend,Market Cap,Quarterly
GLTR,0.6,361.0010681,0.165449927,N,N,N,Standard Life Aberdeen PLC,Commodity,Precious Metals,#N/A N/A,#N/A N/A,ETF,Precious Metals,Single Asset,Not Applicable
RWM,0.95,334.650238,0.024532975,Y,Y,N,ProFunds Group,Equity,Blend,#N/A N/A,Small-cap,ETF,Blend,Market Cap,Daily
TMV,0.95,173.6258392,0.070591079,Y,Y,N,Rafferty Asset Management LLC,Fixed Income,Government,#N/A N/A,#N/A N/A,ETF,Government,Single Asset,Daily
CFA,0.35,721.223999,0.133477479,N,N,N,Victory Capital Advisers Inc,Equity,Blend,North America,Large-cap,ETF,Blend,Proprietary,Semi-Annually
TVIX,1.65,816.2987061,0.0466657,Y,N,N,Credit Suisse Group AG,Specialty,Specialty,#N/A N/A,#N/A N/A,ETN,Specialty,Proprietary,Not Applicable
CVY,0.88,218.7756805,0.199152189,N,N,N,Invesco Ltd,Mixed Allocation,Aggressive Allocation,Developed Market,#N/A N/A,ETF,Aggressive Allocation,Proprietary,Quarterly
PTMC,0.6,684.7612305,0.04637589,N,N,N,Pacer Advisors Inc,Mixed Allocation,Dynamic Allocation,North America,#N/A N/A,ETF,Dynamic Allocation,Proprietary,Unknown
TECL,0.95,712.0273438,0.090253669,Y,N,N,Rafferty Asset Management LLC,Equity,Blend,North America,Large-cap,ETF,Blend,Market Cap,Daily
VTHR,0.15,445.0950012,0.067161417,N,N,N,Vanguard Group Inc/The,Equity,Blend,North America,Broad Market,ETF,Blend,Market Cap,Quarterly
QID,0.95,298.9723206,0.030844919,Y,Y,N,ProFunds Group,Equity,Blend,#N/A N/A,Large-cap,ETF,Blend,Market Cap,Daily
PICK,0.39,250.3606873,0.263676112,N,N,N,BlackRock Inc,Equity,Blend,Europe,Large-cap,ETF,Blend,Market Cap,Quarterly
IGHG,0.3,302.0619202,0.182022578,N,N,N,ProFunds Group,Fixed Income,Corporate,#N/A N/A,#N/A N/A,ETF,Corporate,Market Cap,Monthly
ICVT,0.2,342.3948059,0.161911103,N,N,N,BlackRock Inc,Fixed Income,Convertible,#N/A N/A,#N/A N/A,ETF,Convertible,Market Cap,Monthly
SPYV,0.04,2700.4646,0.034589021,N,N,N,State Street Corp,Equity,Value,North America,Large-cap,ETF,Value,Market Cap,Yearly
DDM,0.95,349.4385681,0.024822161,Y,N,N,ProFunds Group,Equity,Blend,North America,Large-cap,ETF,Blend,Price,Daily
SOXL,0.95,615.6253662,0.131833391,Y,N,N,Rafferty Asset Management LLC,Equity,Blend,North America,Large-cap,ETF,Blend,Market Cap,Daily
RWK,0.39,344.9017944,0.160715789,N,N,N,Invesco Ltd,Equity,Blend,North America,Mid-cap,ETF,Blend,Fundamentals,Quarterly
SHE,0.2,280.3861084,0.041364696,N,N,N,State Street Corp,Equity,Blend,North America,Large-cap,ETF,Blend,Proprietary,Yearly
FNI,0.6,116.5261612,0.136845716,N,N,N,Grace Partners of DuPage LP,Equity,Blend,Emerging Asia,Broad Market,ETF,Blend,Multi Factor,Semi-Annually
IYLD,0.24,320.7561646,0.148509478,N,N,N,BlackRock Inc,Mixed Allocation,Global Allocation,Developed Market,#N/A N/A,ETF,Global Allocation,Proprietary,Quarterly
FVC,0.89,517.9594727,0.242400602,N,N,N,Grace Partners of DuPage LP,Mixed Allocation,Dynamic Allocation,North America,#N/A N/A,ETF,Dynamic Allocation,Proprietary,Monthly
IXP,0.47,246.0882874,0.216032399,N,N,N,BlackRock Inc,Equity,Blend,Developed Market,Large-cap,ETF,Blend,Market Cap,Quarterly
PBP,0.49,317.3796387,0.365598136,N,N,N,Invesco Ltd,Equity,Blend,Developed Market,Large-cap,ETF,Blend,Multi Factor,Quarterly
IDOG,0.5,261.3198242,0.446305138,N,N,N,SS&C Technologies Holdings Inc,Equity,Value,Developed Market,Broad Market,ETF,Value,Equal,Quarterly
DTH,0.58,251.0824585,0.152432899,N,N,N,WisdomTree Investments Inc,Equity,Blend,Developed Market,Large-cap,ETF,Blend,Dividend,Yearly
RIGS,0.47,150.4816589,0.258647808,N,N,Y,SS&C Technologies Holdings Inc,Fixed Income,Aggregate,#N/A N/A,#N/A N/A,ETF,Aggregate,Not Applicable,Not Applicable
FXE,0.4,269.4995728,0.009412526,N,N,N,Invesco Ltd,Specialty,Currency,Global,#N/A N/A,ETF,Currency,Single Asset,Not Applicable
MXI,0.47,198.2571869,0.163011936,N,N,N,BlackRock Inc,Equity,Blend,Developed Market,Large-cap,ETF,Blend,Market Cap,Quarterly
IBDN,0.1,859.7668457,0.071384836,N,N,N,BlackRock Inc,Fixed Income,Corporate,#N/A N/A,#N/A N/A,ETF,Corporate,Not Applicable,Monthly
SCIF,0.8,166.9966736,0.229274055,N,N,N,Van Eck Associates Corp,Equity,Blend,Emerging Market,Small-cap,ETF,Blend,Market Cap,Quarterly
MLPX,0.45,827.3540649,0.089101356,N,N,N,Mirae Asset Daewoo Co Ltd,Equity,Blend,North America,Broad Market,ETF,Blend,Market Cap,Quarterly
QABA,0.6,180.8238983,0.092839613,N,N,N,Grace Partners of DuPage LP,Equity,Blend,North America,Broad Market,ETF,Blend,Multi Factor,Quarterly
FEU,0.29,186.2628326,0.144192096,N,N,N,State Street Corp,Equity,Blend,Developed Market,Large-cap,ETF,Blend,Market Cap,Quarterly
QDEF,0.37,390.5036926,0.066769087,N,N,N,Northern Trust Corp,Equity,Blend,North America,Broad Market,ETF,Blend,Multi Factor,Quarterly
RYF,0.4,282.2515259,0.077278635,N,N,N,Invesco Ltd,Equity,Blend,North America,Large-cap,ETF,Blend,Equal,Quarterly
IBDH,0.1,303.4812317,#N/A N/A,N,N,N,BlackRock Inc,Fixed Income,Corporate,#N/A N/A,#N/A N/A,ETF,Corporate,Market Cap,Monthly
FUTY,0.084,714.8647461,0.036813295,N,N,N,FMR LLC,Equity,Blend,North America,Large-cap,ETF,Blend,Market Cap,Quarterly
KBWD,2.42,293.3414917,0.137887537,N,N,N,Invesco Ltd,Equity,Blend,North America,Broad Market,ETF,Blend,Dividend,Quarterly
PKB,0.58,114.9374237,0.159163163,N,N,N,Invesco Ltd,Equity,Blend,North America,Broad Market,ETF,Blend,Multi Factor,Quarterly
FSTA,0.08,523.9744263,0.041934331,N,N,N,FMR LLC,Equity,Blend,North America,Large-cap,ETF,Blend,Market Cap,Quarterly
PSP,2.03,222.6259613,0.258428081,N,N,N,Invesco Ltd,Equity,Blend,Developed Market,Broad Market,ETF,Blend,Proprietary,Quarterly
INTF,0.3,1253.314575,0.088057647,N,N,N,BlackRock Inc,Equity,Blend,Developed Market,Broad Market,ETF,Blend,Multi Factor,Semi-Annually
PFM,0.55,295.8141174,0.101103743,N,N,N,Invesco Ltd,Equity,Blend,North America,Large-cap,ETF,Blend,Market Cap,Quarterly
FIEU,0.8,23.19102669,#N/A N/A,Y,N,N,Credit Suisse Group AG,Equity,Blend,Developed Market,Large-cap,ETN,Blend,Not Applicable,Unknown
LEMB,0.3,556.4217529,0.049071397,N,N,N,BlackRock Inc,Fixed Income,Government,#N/A N/A,#N/A N/A,ETF,Government,Market Cap,Monthly
CIBR,0.6,877.8967285,0.285744692,N,N,N,Grace Partners of DuPage LP,Equity,Growth,North America,Broad Market,ETF,Growth,Fundamentals,Semi-Annually
EMQQ,0.86,387.2250366,0.152050018,N,N,N,Exchange Traded Concepts LLC,Equity,Blend,Emerging Asia,Broad Market,ETF,Blend,Market Cap,Semi-Annually
EQAL,0.2,564.7774658,0.061788137,N,N,N,Invesco Ltd,Equity,Blend,North America,Broad Market,ETF,Blend,Equal,Quarterly
JPUS,0.19,672.2356567,0.047040064,N,N,N,JPMorgan Chase & Co,Equity,Blend,North America,Broad Market,ETF,Blend,Multi Factor,Quarterly
HFXI,0.2,274.7900391,0.358705327,N,N,N,New York Life Insurance Co,Equity,Blend,Developed Market,Broad Market,ETF,Blend,Not Applicable,Quarterly
XSD,0.35,278.5977478,0.043977781,N,N,N,State Street Corp,Equity,Blend,North America,Broad Market,ETF,Blend,Equal,Quarterly
WOOD,0.47,225.6859131,0.441562689,N,N,N,BlackRock Inc,Equity,Blend,North America,Broad Market,ETF,Blend,Market Cap,Quarterly
VNM,0.64,439.6010742,0.072343316,N,N,N,Van Eck Associates Corp,Equity,Blend,North America,Broad Market,ETF,Blend,Market Cap,Quarterly
PSI,0.61,166.8104858,0.05041964,N,N,N,Invesco Ltd,Equity,Blend,North America,Broad Market,ETF,Blend,Multi Factor,Quarterly
FDIS,0.08,685.1585693,0.058354614,N,N,N,FMR LLC,Equity,Growth,North America,Large-cap,ETF,Growth,Market Cap,Quarterly
FBND,0.36,640.0861206,0.046375307,N,N,Y,FMR LLC,Fixed Income,Aggregate,#N/A N/A,#N/A N/A,ETF,Aggregate,Proprietary,Not Applicable
YLD,0.49,241.5346375,1.256037054,N,N,Y,Principal Financial Group Inc,Mixed Allocation,Dynamic Allocation,Global,#N/A N/A,ETF,Dynamic Allocation,Market Cap,Unknown
XES,0.35,177.1649323,0.114598309,N,N,N,State Street Corp,Equity,Blend,Developed Market,Broad Market,ETF,Blend,Equal,Quarterly
AGGP,0.21,149.0016327,0.153474449,N,N,N,New York Life Insurance Co,Fixed Income,Aggregate,#N/A N/A,#N/A N/A,ETF,Aggregate,Multi Factor,Monthly
LABU,0.95,608.4118042,0.161137775,Y,N,N,Rafferty Asset Management LLC,Equity,Blend,North America,Broad Market,ETF,Blend,Equal,Quarterly
PIN,0.82,180.850296,0.104216049,N,N,N,Invesco Ltd,Equity,Blend,Emerging Market,Large-cap,ETF,Blend,Proprietary,Quarterly
DBB,0.8,144.2829132,0.172744887,N,N,N,Invesco Ltd,Commodity,Industrial Metals,#N/A N/A,#N/A N/A,ETF,Industrial Metals,Multi Factor,Yearly
BKF,0.7,177.9195099,0.114166893,N,N,N,BlackRock Inc,Equity,Blend,Emerging Market,Large-cap,ETF,Blend,Market Cap,Quarterly
EELV,0.29,347.3671265,0.358625659,N,N,N,Invesco Ltd,Equity,Blend,Emerging Market,Large-cap,ETF,Blend,Multi Factor,Quarterly
URA,0.69,220.8429565,0.151730626,N,N,N,Mirae Asset Daewoo Co Ltd,Equity,Blend,Global,Broad Market,ETF,Blend,Market Cap,Yearly
NYF,0.25,375.7270203,0.072248132,N,N,N,BlackRock Inc,Fixed Income,Municipals,#N/A N/A,#N/A N/A,ETF,Municipals,Market Cap,Quarterly
PPH,0.35,172.447876,0.054142677,N,N,N,Van Eck Associates Corp,Equity,Blend,North America,Large-cap,ETF,Blend,Market Cap,Quarterly
FXZ,0.65,126.0596542,0.11018546,N,N,N,Grace Partners of DuPage LP,Equity,Blend,North America,Broad Market,ETF,Blend,Multi Factor,Quarterly
WBIH,0.98,8.626954079,#N/A N/A,N,N,Y,WBI Investments Inc,Mixed Allocation,Global Allocation,Developed Market,#N/A N/A,ETF,Global Allocation,Not Applicable,Not Applicable
CEFL,0.5,235.780426,0.223520508,Y,N,N,UBS Group AG,Equity,Blend,Developed Market,#N/A N/A,ETN,Blend,Market Cap,Yearly
FNDB,0.25,276.8300781,0.1090066,N,N,N,Charles Schwab Corp/The,Equity,Blend,North America,Broad Market,ETF,Blend,Fundamentals,Quarterly
VIOG,0.2,411.1019897,0.104805904,N,N,N,Vanguard Group Inc/The,Equity,Growth,North America,Small-cap,ETF,Growth,Market Cap,Quarterly
PSC,0.38,343.2294006,0.495115804,N,N,N,Principal Financial Group Inc,Equity,Blend,Asia,Small-cap,ETF,Blend,Multi Factor,Semi-Annually
AGQ,0.95,171.472702,0.060731716,Y,N,N,ProFunds Group,Commodity,Precious Metals,#N/A N/A,#N/A N/A,ETF,Precious Metals,Single Asset,Daily
MINC,0.69,79.82083893,0.305500249,N,N,Y,AdvisorShares Trust,Fixed Income,Aggregate,#N/A N/A,#N/A N/A,ETF,Aggregate,Not Applicable,Not Applicable
MNA,0.78,988.3059692,0.0644672,N,N,N,New York Life Insurance Co,Alternative,Event Driven,#N/A N/A,#N/A N/A,ETF,Event Driven,Multi Factor,Monthly
MUNI,0.35,300.8738708,0.10309189,N,N,Y,Allianz SE,Fixed Income,Municipals,#N/A N/A,#N/A N/A,ETF,Municipals,Not Applicable,Monthly
EEMS,0.69,252.4772339,0.395382718,N,N,N,BlackRock Inc,Equity,Blend,Emerging Market,Small-cap,ETF,Blend,Market Cap,Quarterly
RDVY,0.5,741.4664917,0.049618051,N,N,N,Grace Partners of DuPage LP,Equity,Blend,North America,Large-cap,ETF,Blend,Proprietary,Unknown
PBE,0.59,229.9871063,0.154174168,N,N,N,Invesco Ltd,Equity,Blend,North America,Broad Market,ETF,Blend,Multi Factor,Quarterly
ELD,0.55,190.7666473,0.404919526,N,N,Y,WisdomTree Investments Inc,Fixed Income,Government,#N/A N/A,#N/A N/A,ETF,Government,Proprietary,Not Applicable
FEMS,0.8,138.3110352,0.637240455,N,N,N,Grace Partners of DuPage LP,Equity,Blend,Emerging Market,Small-cap,ETF,Blend,Fundamentals,Semi-Annually
CQQQ,0.7,480.8170471,0.175447304,N,N,N,Invesco Ltd,Equity,Blend,Emerging Asia,Broad Market,ETF,Blend,Market Cap,Semi-Annually
USLV,1.65,221.1052856,0.153623138,Y,N,N,Credit Suisse Group AG,Commodity,Precious Metals,#N/A N/A,#N/A N/A,ETN,Precious Metals,Proprietary,Not Applicable
DOG,0.95,231.6209106,0.018393604,Y,Y,N,ProFunds Group,Equity,Blend,North America,Large-cap,ETF,Blend,Price,Daily
BDCL,0.85,195.7377777,0.34211482,Y,N,N,UBS Group AG,Equity,Blend,Developed Market,Broad Market,ETN,Blend,Market Cap,Not Applicable
FIW,0.57,355.13974,0.14150068,N,N,N,Grace Partners of DuPage LP,Equity,Blend,North America,Broad Market,ETF,Blend,Market Cap,Semi-Annually
RXI,0.47,216.1790619,0.210470978,N,N,N,BlackRock Inc,Equity,Blend,Developed Market,Large-cap,ETF,Blend,Market Cap,Quarterly
IWX,0.2,448.9493103,0.079225938,N,N,N,BlackRock Inc,Equity,Value,North America,Large-cap,ETF,Value,Market Cap,Yearly
SMB,0.2,197.0474701,0.140707685,N,N,N,Van Eck Associates Corp,Fixed Income,Municipals,#N/A N/A,#N/A N/A,ETF,Municipals,Market Cap,Monthly
GQRE,0.45,339.8560791,0.080395646,N,N,N,Northern Trust Corp,Equity,Blend,Developed Market,Broad Market,ETF,Blend,Multi Factor,Quarterly
SPFF,0.58,190.240097,0.196498732,N,N,N,Mirae Asset Daewoo Co Ltd,Fixed Income,Preferred,#N/A N/A,#N/A N/A,ETF,Preferred,Market Cap,Semi-Annually
KBA,0.6,670.3146362,0.06365625,N,N,N,Krane Funds Advisors LLC,Equity,Blend,Emerging Market,Large-cap,ETF,Blend,Market Cap,Quarterly
EDC,0.95,213.987442,0.090084307,Y,N,N,Rafferty Asset Management LLC,Equity,Blend,Emerging Market,Large-cap,ETF,Blend,Market Cap,Daily
TWOK,#N/A N/A,1252.93811,#N/A N/A,N,N,N,State Street Corp,Equity,Blend,#N/A N/A,Small-cap,ETF,Blend,Market Cap,Yearly
